amt,is_fraud,trans_date_trans_time,distance,day_of_week,week_of_month
75.6,0,2019-07-14 23:15:07,108.09226591496795,7,3
63.18,0,2019-10-17 22:24:06,58.25886808069376,4,3
6.35,0,2019-07-19 09:49:01,126.36471718198072,5,3
65.33,0,2019-12-06 07:49:06,39.98227034420525,5,1
17.67,0,2019-08-08 23:53:31,38.59421705081091,4,2
50.68,0,2020-05-04 10:36:35,105.2163919857382,1,2
10.6,0,2019-08-30 17:05:21,69.60546441602332,5,5
106.54,0,2019-05-31 10:22:56,46.91765951157026,5,5
38.14,0,2019-08-29 01:27:50,107.95155945436984,4,5
166.15,0,2020-01-11 20:23:40,99.48620183121211,6,2
1.96,0,2020-06-08 23:59:59,78.17665113254918,1,2
459.05,0,2020-05-04 14:14:19,16.294584873850816,1,2
6.2,0,2020-03-25 13:13:46,44.74776784634367,3,4
44.17,0,2019-12-13 14:00:49,66.22103399703946,5,2
6.13,0,2020-01-14 17:54:40,102.85831420879089,2,3
123.46,0,2019-08-19 19:22:56,62.519915666731954,1,4
8.91,0,2019-02-22 20:58:40,122.64469712091444,5,4
29.87,0,2019-03-05 12:05:19,27.80450291068988,2,2
62.49,0,2020-03-24 14:29:18,33.17885893357474,2,4
49.89,0,2019-08-11 22:10:35,117.48574982252292,7,3
191.96,0,2020-04-03 10:53:29,98.7433002422856,5,1
44.5,0,2019-11-23 13:01:28,50.54002380159822,6,4
8.84,0,2020-01-06 07:40:07,72.19979193989536,1,2
3.82,0,2020-01-04 15:31:24,123.08918484723853,6,1
88.25,0,2019-09-03 03:31:34,27.089814408943102,2,1
6.83,0,2020-05-01 18:39:10,65.5028782551698,5,1
36.7,0,2020-04-17 23:10:17,60.939476405600765,5,3
12.99,0,2019-03-16 20:45:43,131.70811297438766,6,3
51.82,0,2020-05-20 07:29:25,62.18622790192437,3,4
96.66,0,2020-03-29 03:41:47,94.57272442008983,7,5
2.01,0,2020-03-18 10:29:02,106.52070961348781,3,3
64.81,0,2020-06-16 17:51:19,20.345417087332486,2,3
7.67,0,2019-12-18 12:24:29,108.58256888933558,3,3
13.95,0,2020-03-15 14:42:05,43.33221311970302,7,3
51.99,0,2019-11-27 03:27:48,111.97615347843714,3,5
68.2,0,2020-03-29 00:30:35,72.79922183722572,7,5
319.82,0,2019-08-25 20:50:38,44.974638857742235,7,5
12.08,0,2019-12-14 17:57:12,71.41864666699888,6,2
14.59,0,2019-02-13 11:13:50,81.79640711611192,3,3
48.68,0,2019-12-21 14:40:06,113.78107354040944,6,3
236.31,0,2019-12-29 21:22:26,70.29052915206066,7,5
7.49,0,2020-02-12 08:46:22,110.72554028301947,3,3
65.2,0,2019-12-21 01:42:38,126.42603639769776,6,3
41.42,0,2019-08-25 00:56:10,33.34174218656612,7,5
62.28,0,2019-08-26 04:24:02,36.48922062203489,1,5
49.5,0,2019-11-21 11:02:46,94.27034121574918,4,4
72.14,0,2020-03-25 17:53:07,71.14365687734883,3,4
11.82,0,2019-01-08 06:37:01,60.499524732163216,2,2
5.58,0,2020-03-01 12:58:51,78.53672234194731,7,1
171.69,0,2019-08-02 17:12:47,63.421088319580285,5,1
73.4,0,2020-06-07 15:18:43,114.87174936190091,7,2
25.6,0,2020-01-25 06:17:35,100.36288628844827,6,4
8.56,0,2019-02-03 11:51:13,96.762596786581,7,2
86.14,0,2019-01-08 07:03:28,96.01149730557911,2,2
75.94,0,2020-02-07 20:20:17,34.116316522866235,5,2
34.32,0,2019-12-21 20:10:05,41.247033321524405,6,3
12.09,0,2020-05-17 18:22:05,49.05613676160734,7,4
135.39,0,2019-12-10 23:24:09,100.96686342259984,2,2
1.1,0,2019-04-17 20:25:24,106.5093153735905,3,3
161.89,0,2020-05-19 13:19:12,53.70414440638107,2,4
1.31,0,2019-11-25 16:47:30,76.48603233256812,1,5
87.8,0,2019-10-13 18:18:25,56.63034968292814,7,3
86.74,0,2019-06-29 07:44:30,25.097752009718725,6,5
66.1,0,2019-05-23 02:52:54,74.62956892511147,4,4
48.18,0,2019-09-14 17:04:23,44.37842905027832,6,2
55.37,0,2019-02-04 13:05:03,129.90449492793064,1,2
41.07,0,2020-04-27 16:19:00,100.46602530227949,1,5
240.58,0,2020-06-13 07:27:35,40.965080455697716,6,2
9.32,0,2019-06-10 14:16:41,92.40995342485282,1,3
72.34,0,2019-08-22 05:13:46,51.320520726469724,4,4
8.03,0,2019-03-01 04:51:51,65.74282730791329,5,1
1.78,0,2020-01-09 17:49:13,64.6406727958209,4,2
56.15,0,2019-09-07 17:16:23,59.68268745371729,6,1
57.98,0,2019-09-06 08:45:48,136.04286988132964,5,1
228.2,0,2019-09-06 08:23:24,42.872485719357314,5,1
2.55,0,2019-03-09 23:48:12,45.14489778870849,6,2
19.58,0,2020-03-10 00:38:50,90.31432768024168,2,2
60.77,0,2019-01-27 16:05:53,100.21149710036399,7,5
90.56,0,2019-04-30 21:50:49,97.55713461776283,2,5
68.97,0,2019-10-07 07:25:01,10.935173038596584,1,2
103.96,0,2019-09-10 08:00:25,135.5993311970655,2,2
2.63,0,2020-01-10 20:33:15,99.9007152510615,5,2
3.53,0,2019-12-20 20:18:07,77.45438956562562,5,3
372.72,0,2020-03-16 21:43:45,86.01625825823561,1,3
6.34,0,2019-08-28 22:24:23,82.00552661343876,3,5
39.02,0,2019-03-22 18:50:27,25.834637144551564,5,4
265.96,0,2019-09-14 12:55:18,55.593977667898905,6,2
2.91,0,2019-11-13 16:13:06,125.9401862797011,3,3
4.57,0,2019-06-06 21:51:18,61.6168130838643,4,2
112.56,0,2019-12-31 01:46:43,127.7416585657153,2,5
2.59,0,2019-05-20 13:06:53,85.63754535561316,1,4
28.39,0,2019-08-16 20:12:32,68.69608901254693,5,3
1.46,0,2019-09-07 07:41:57,74.73526412365622,6,1
80.17,0,2020-03-12 20:48:39,62.319443154360634,4,2
4.15,0,2019-02-03 17:33:07,117.55120678506974,7,2
9.47,0,2019-07-15 19:15:23,63.81620888183728,1,3
66.72,0,2019-01-08 08:03:18,103.60129778866545,2,2
39.12,0,2019-08-05 16:54:31,35.2200039835575,1,2
54.28,0,2020-05-31 01:11:22,57.867502079511944,7,6
10.33,0,2020-06-01 18:06:56,99.09630178830767,1,1
51.7,0,2019-12-26 05:34:01,37.320519013042926,4,4
73.11,0,2019-08-17 13:52:06,79.06312697072447,6,3
7.39,0,2019-04-26 23:31:34,128.99596115585217,5,4
16.39,0,2019-09-21 16:42:23,53.10463902547204,6,3
4.24,0,2020-04-28 17:22:11,81.22578658865889,2,5
7.37,0,2019-09-12 14:48:06,57.92852850996783,4,2
58.27,0,2019-08-15 06:15:39,49.20865745816856,4,3
99.92,0,2019-05-04 09:23:42,55.05633967091433,6,1
5.04,0,2020-04-13 12:53:35,114.20610216297266,1,3
93.9,0,2020-05-17 09:06:45,91.79171804987189,7,4
46.37,0,2019-12-30 02:20:31,71.27176304758837,1,5
131.9,0,2020-04-12 01:22:27,51.8386989368608,7,3
57.21,0,2019-04-13 18:22:30,53.3293558976307,6,2
5.16,0,2020-03-18 22:34:44,118.55429783997063,3,3
2.21,0,2019-05-12 22:21:13,52.614878553847724,7,3
83.74,0,2019-04-28 18:19:25,87.48443751728257,7,5
68.71,0,2019-10-25 05:16:59,76.05285237891361,5,4
5.23,0,2019-04-29 21:46:27,73.38701822062575,1,5
53.4,0,2019-10-15 00:34:35,94.03965991696637,2,3
31.6,0,2019-08-15 23:04:34,76.38873652690462,4,3
63.49,0,2020-02-13 19:38:42,57.82237829633372,4,3
50.24,0,2019-11-22 21:50:02,73.07568948103338,5,4
53.37,0,2019-03-21 22:46:03,117.46556291085399,4,4
146.29,0,2019-10-21 21:11:48,93.1147843283965,1,4
56.16,0,2019-12-04 18:56:35,106.86887610438707,3,1
80.5,0,2019-06-23 15:55:40,70.05174560109664,7,5
9.53,0,2019-02-27 21:33:52,83.55483624035654,3,5
1.44,0,2019-08-03 20:01:00,72.49458133245876,6,1
4.88,0,2019-02-14 07:01:54,124.44736080281798,4,3
8.65,0,2019-02-18 14:45:11,92.62311435443357,1,4
113.42,0,2019-11-18 09:57:11,73.00071094895173,1,4
75.08,0,2019-12-01 10:36:01,29.1062695980843,7,1
4.97,0,2019-04-13 04:02:36,30.278327675915673,6,2
18.87,0,2019-02-22 01:28:34,48.053918014288975,5,4
99.41,0,2019-10-12 01:20:54,114.03928884892429,6,2
21.21,0,2019-05-15 23:12:35,47.76705570757732,3,3
32.54,0,2020-04-20 14:36:07,15.753837736981493,1,4
4.56,0,2020-02-11 21:56:59,66.70284775836116,2,3
23.41,0,2020-04-08 22:21:24,39.6762349957958,3,2
25.97,0,2019-10-27 09:48:57,35.12435649375657,7,5
48.01,0,2019-11-12 09:12:06,63.35553988997975,2,3
6.21,0,2019-09-02 16:56:19,90.18873515289616,1,1
4.72,0,2019-07-05 04:28:59,87.83967462086912,5,1
8.83,0,2019-01-04 22:35:04,115.26263192690016,5,1
47.95,0,2019-05-04 23:57:52,45.302933323679916,6,1
221.98,0,2020-03-14 01:26:14,107.77418869833726,6,2
179.58,0,2019-10-26 14:17:01,46.13573378698148,6,4
1062.13,1,2019-07-07 23:01:02,22.24404322406603,7,2
54.94,0,2019-01-24 14:11:29,81.35925266619647,4,4
33.79,0,2019-12-11 19:52:35,75.72694595886502,3,2
164.1,0,2019-01-11 20:44:20,63.28229729900733,5,2
40.39,0,2019-10-28 16:02:32,98.68428947487702,1,5
75.74,0,2019-10-07 14:33:43,88.65288343188686,1,2
124.72,0,2019-03-25 00:44:01,112.3986874239564,1,5
1.47,0,2019-03-02 20:53:59,76.1480221362824,6,1
36.51,0,2019-11-22 00:56:43,28.753853954021494,5,4
44.38,0,2020-05-09 22:27:27,115.7522303972865,6,2
161.7,0,2019-06-16 12:13:13,79.36023015768606,7,4
4.88,0,2020-01-15 03:16:27,41.24376843685584,3,3
83.81,0,2019-05-02 17:58:48,93.4945609584294,4,1
2.82,0,2019-04-02 22:26:49,88.69080823597554,2,1
89.08,0,2019-09-01 00:56:18,83.91240169335516,7,1
99.35,0,2019-10-01 15:46:31,107.11923010859145,2,1
41.86,0,2019-02-09 22:17:33,55.650699642141646,6,2
15.11,0,2020-01-28 19:45:04,74.30362189949447,2,5
7.58,0,2019-10-17 15:04:14,101.540804442621,4,3
13.12,0,2019-04-03 15:34:35,95.48069856320849,3,1
15.69,0,2019-10-05 16:36:02,77.6903303678116,6,1
5.64,0,2019-10-06 07:57:47,22.73767262815428,7,2
7.13,0,2020-06-14 04:08:46,61.354921112849375,7,3
6.92,0,2020-04-12 20:08:01,59.20821731363041,7,3
3.17,0,2019-08-02 05:32:19,38.00008729401363,5,1
2.35,0,2019-11-21 16:52:26,73.764320152487,4,4
31.72,0,2020-05-28 07:52:29,95.15826820885002,4,5
98.21,0,2019-12-16 15:06:46,89.2981785547288,1,3
33.71,0,2019-12-15 03:57:06,124.91592663275375,7,3
1.92,0,2020-06-19 23:05:39,129.80932228908654,5,3
1.24,0,2019-12-08 07:00:31,83.1206218441149,7,2
30.85,0,2020-04-26 17:28:27,85.30400577113174,7,5
132.01,0,2019-12-08 09:18:17,116.50844815813025,7,2
158.88,0,2019-12-01 14:15:51,90.81805337339831,7,1
6.28,0,2019-05-24 22:43:14,70.03284678371072,5,4
52.29,0,2020-04-04 07:22:24,104.17014708633141,6,1
36.91,0,2019-12-30 23:39:24,102.21006037390035,1,5
21.18,0,2019-12-23 16:58:16,106.25676397458619,1,4
12.21,0,2019-08-30 20:09:29,30.380736785095994,5,5
48.91,0,2020-04-21 07:59:42,48.224880234795535,2,4
57.95,0,2020-04-23 18:24:03,91.68989199377991,4,4
55.39,0,2019-12-09 18:18:22,91.40595935396814,1,2
74.64,0,2019-07-21 18:05:59,110.7204401463167,7,4
8.33,0,2019-01-07 07:55:50,31.732992475200444,1,2
95.53,0,2020-04-02 06:30:08,31.24703494646698,4,1
11.71,0,2019-09-01 15:14:58,63.33654107719709,7,1
113.57,0,2019-12-28 12:29:25,90.19703778327079,6,4
68.13,0,2019-06-19 13:50:48,71.14999080520298,3,4
102.51,0,2019-03-18 21:58:13,49.11336651894766,1,4
61.33,0,2020-02-24 11:26:33,78.68824508916846,1,5
37.21,0,2019-07-09 22:23:16,65.35707409485099,2,2
6.32,0,2019-08-24 13:59:24,127.78324286643615,6,4
51.94,0,2020-01-16 10:18:05,94.35771270164086,4,3
35.99,0,2019-11-09 18:38:02,61.167853103336604,6,2
104.57,0,2019-08-16 10:10:23,121.02408016696621,5,3
1.73,0,2019-07-29 11:55:10,75.06380706997305,1,5
137.52,0,2020-03-17 02:08:52,56.47297556626504,2,3
33.79,0,2019-02-11 16:11:00,106.19593635088522,1,3
8.61,0,2019-11-30 22:34:36,93.86892799911575,6,5
19.44,0,2019-11-02 22:41:57,61.68633137293851,6,1
93.37,0,2019-05-05 18:00:01,48.91888795309429,7,2
61.99,0,2020-04-07 22:55:06,103.84553995835107,2,2
53.48,0,2020-03-09 09:35:40,113.8736505246499,1,2
96.36,0,2020-03-03 23:07:19,38.68971928833431,2,1
215.4,0,2020-01-28 10:01:09,37.95172143822126,2,5
2.4,0,2019-12-04 14:35:21,70.34840683609298,3,1
4.3,0,2019-03-20 18:27:52,84.36657691233306,3,4
26.1,0,2019-04-01 20:59:12,106.83566171351849,1,1
83.25,0,2019-07-24 05:35:29,98.09726881107447,3,4
96.35,0,2020-04-18 12:31:41,42.76487794890308,6,3
73.43,0,2019-03-20 21:22:14,120.34688243278357,3,4
4.22,0,2020-02-21 21:14:48,43.82319995232468,5,4
16.94,0,2019-07-12 17:27:56,37.74188107028993,5,2
39.82,0,2019-06-20 00:12:30,99.43401278147158,4,4
60.49,0,2019-02-01 11:18:53,78.49364952924809,5,1
98.96,0,2019-08-17 17:50:52,6.87755131396889,6,3
63.57,0,2019-07-01 09:45:59,108.86153372981596,1,1
5.82,0,2019-09-08 03:24:29,45.567835784347025,7,2
39.57,0,2020-03-22 18:30:22,82.71344494394198,7,4
6.63,0,2019-07-14 02:01:36,67.563361303186,7,3
39.92,0,2019-01-08 05:18:00,58.17048217164342,2,2
1.77,0,2019-07-14 04:25:04,72.00485888635063,7,3
81.59,0,2020-06-09 11:58:19,110.08258836491372,2,2
38.04,0,2020-03-13 09:09:30,31.02602549067406,5,2
69.15,0,2020-06-06 00:04:44,76.85102068555308,6,1
58.06,0,2020-05-09 11:30:56,96.69857048407492,6,2
52.6,0,2019-08-18 15:49:13,29.605574119048377,7,4
29.58,0,2019-02-18 14:52:04,103.07725204299376,1,4
74.73,0,2020-06-08 20:06:40,102.26119322236335,1,2
5.78,0,2019-09-06 19:34:00,60.77328816534023,5,1
67.14,0,2019-07-24 14:54:31,77.49357917140676,3,4
125.38,0,2019-11-02 12:09:55,2.9366110015829427,6,1
67.1,0,2020-01-17 06:11:45,42.5816288865848,5,3
32.74,0,2019-08-25 02:52:59,115.18388579726816,7,5
9.76,0,2019-11-29 01:01:55,81.70714585347487,5,5
237.35,0,2019-12-14 16:52:18,94.1518100563027,6,2
48.2,0,2019-04-07 15:44:46,107.94881301969895,7,2
18.0,0,2020-03-03 22:52:33,110.61887951164734,2,1
32.79,0,2019-05-20 17:37:24,51.29286199170877,1,4
63.95,0,2019-02-05 06:17:19,25.843142603743722,2,2
103.06,0,2019-02-12 13:43:43,118.77663125082174,2,3
4.64,0,2020-03-10 15:21:24,36.254699087358354,2,2
19.21,0,2019-03-01 18:10:54,16.187811621611544,5,1
174.71,0,2019-05-12 23:32:11,87.08343210545168,7,3
6.14,0,2019-12-15 23:14:38,74.55425386553894,7,3
46.96,0,2020-01-25 10:29:00,67.3234080598311,6,4
81.84,0,2020-01-25 22:56:11,50.053345579168976,6,4
57.2,0,2020-04-26 00:38:49,88.4977415392967,7,5
50.32,0,2019-12-16 00:41:16,68.6118862019714,1,3
46.17,0,2019-09-19 04:55:47,74.99445367372061,4,3
73.47,0,2019-08-29 19:13:23,107.5047225741482,4,5
4.11,0,2020-01-30 16:34:42,103.63874713745611,4,5
71.5,0,2019-08-31 06:12:18,75.11200437929719,6,5
131.42,0,2019-07-15 17:28:37,73.8306678170242,1,3
18.62,0,2019-03-04 17:01:18,82.83562337789257,1,2
69.07,0,2019-12-31 00:53:05,19.743937550046635,2,5
21.06,0,2019-11-18 16:30:49,52.88339811730951,1,4
152.85,0,2020-03-09 22:30:04,38.582886155703676,1,2
12.57,0,2020-01-03 10:12:20,31.27502136072713,5,1
4.37,0,2019-11-17 21:55:22,105.9747951489256,7,4
55.72,0,2019-12-07 06:27:01,37.07480370216216,6,1
8.9,0,2019-07-03 16:43:13,57.72785802304326,3,1
9.42,0,2019-06-26 17:09:00,80.7929734735918,3,5
6.05,0,2019-06-14 14:45:07,40.13160478757474,5,3
211.19,0,2019-08-21 15:39:59,113.16273305799858,3,4
51.43,0,2020-06-18 15:18:33,81.40029346682931,4,3
35.68,0,2019-08-17 17:49:28,115.10924265557398,6,3
39.34,0,2019-07-12 00:36:09,76.8046617798083,5,2
50.01,0,2020-01-13 21:58:54,72.96422890437611,1,3
18.29,0,2019-11-06 20:22:22,96.82437469800102,3,2
190.72,0,2019-11-21 22:12:29,28.532290700722605,4,4
21.74,0,2019-01-31 16:47:50,71.83687382571398,4,5
30.94,0,2020-04-30 07:37:59,108.83982140012739,4,5
9.71,0,2019-11-07 14:14:43,77.72430116908822,4,2
97.07,0,2019-10-21 12:42:46,90.05428464843405,1,4
40.59,0,2019-07-16 00:18:18,36.5158861303399,2,3
39.28,0,2019-06-21 00:32:40,80.30751301250446,5,4
6.11,0,2019-12-22 09:33:49,69.16107754117981,7,4
18.69,0,2020-04-23 21:42:02,75.76554629894653,4,4
2.54,0,2019-07-08 12:06:34,44.97752999775175,1,2
11.77,0,2019-08-30 08:58:43,69.91032993572924,5,5
107.61,0,2020-04-28 01:41:51,90.65756525549746,2,5
81.43,0,2019-04-20 14:58:07,104.78917287103279,6,3
52.02,0,2019-10-13 17:33:44,111.75080432465545,7,3
63.28,0,2019-12-31 22:39:45,72.7248394796805,2,5
34.48,0,2020-01-04 01:18:04,35.21785103088399,6,1
13.8,1,2019-07-22 00:06:42,95.88242442311359,1,4
59.43,0,2019-12-30 19:01:41,93.44664155347621,1,5
70.21,0,2020-06-15 14:37:52,100.05818641794463,1,3
39.03,0,2019-09-30 01:10:18,49.65173528642595,1,5
121.5,0,2020-06-16 17:32:28,135.7240384843645,2,3
291.25,0,2019-12-22 22:18:17,44.59168873455127,7,4
4.61,0,2019-06-03 20:27:28,103.22968881126215,1,2
13.06,0,2019-02-28 17:54:18,46.223089161803316,4,5
39.85,0,2019-10-22 22:53:08,64.85108422613136,2,4
41.99,0,2019-05-12 20:05:23,87.83503805112446,7,3
10.5,0,2019-06-22 12:57:14,54.98710491544384,6,4
21.71,0,2019-11-15 19:20:40,107.55812397996432,5,3
90.29,0,2019-10-20 13:40:46,102.61690383492535,7,4
5.72,0,2019-06-15 04:40:29,52.35375449661057,6,3
90.7,0,2019-05-28 19:25:22,80.15677952605154,2,5
6.61,0,2019-10-25 13:14:35,86.55512959071184,5,4
69.17,0,2019-11-04 01:23:58,82.73364001428745,1,2
123.63,0,2020-03-30 20:18:30,32.234074784825445,1,5
43.83,0,2020-02-05 22:05:24,61.07942022053168,3,2
71.97,0,2019-07-22 06:13:34,36.6711390995282,1,4
40.95,0,2020-02-09 04:16:46,87.64254304792861,7,3
113.57,0,2019-06-11 15:06:31,76.35917938630601,2,3
71.75,0,2019-07-10 07:55:08,84.76435944001605,3,2
77.41,0,2019-03-22 17:27:37,45.30991261265273,5,4
124.96,0,2019-12-16 01:30:59,47.392849913626804,1,3
412.63,0,2019-12-05 23:07:56,47.320050731249836,4,1
48.65,0,2019-01-30 06:31:53,81.94593676857964,3,5
22.37,0,2019-04-22 17:50:08,47.525385742071805,1,4
8.18,0,2020-02-17 12:09:23,15.180260908068783,1,4
52.11,0,2019-08-07 10:53:53,56.06946405356844,3,2
47.58,0,2019-07-07 01:29:28,112.23600657019206,7,2
50.96,0,2019-02-14 10:00:57,37.302656686816114,4,3
4.56,0,2019-05-13 07:14:12,56.19628754207832,1,3
5.67,0,2019-06-30 22:43:22,128.62543234204617,7,6
16.24,0,2020-05-24 19:11:03,33.5366919535366,7,5
66.72,0,2019-04-25 04:39:54,76.43531704333517,4,4
242.23,0,2019-03-31 10:23:59,98.8226719561222,7,6
43.9,0,2020-01-27 05:17:53,118.89119471773319,1,5
95.72,0,2020-06-15 01:31:26,126.33869455701463,1,3
222.63,0,2020-04-07 02:41:45,77.13383203282623,2,2
133.63,0,2019-04-15 22:22:57,126.67110600379665,1,3
98.76,0,2019-07-15 02:30:10,23.375158655023313,1,3
7.3,0,2019-07-26 14:47:00,112.16837881906777,5,4
138.05,0,2019-11-30 10:24:36,75.99900812036456,6,5
112.1,0,2019-09-24 00:56:43,88.66330193899718,2,4
2.63,0,2020-01-17 21:01:41,78.16297308840952,5,3
86.85,0,2019-04-12 20:19:42,85.1619953071503,5,2
67.96,0,2019-07-01 07:16:42,93.25731990114296,1,1
55.21,0,2019-05-11 04:29:05,99.55594786065342,6,2
63.78,0,2019-12-15 04:02:12,73.17084846435206,7,3
76.64,0,2020-06-12 03:50:37,86.2480350847889,5,2
14.41,0,2019-01-28 23:23:39,109.17988732606797,1,5
60.05,0,2020-05-01 10:03:08,73.67551127995897,5,1
43.12,0,2020-03-28 14:22:00,77.16244259435219,6,4
8.28,0,2020-01-09 18:27:27,120.2737047553506,4,2
5.43,0,2019-01-21 21:45:01,119.47059134762637,1,4
44.0,0,2019-12-31 11:10:14,76.70019965752046,2,5
12.9,0,2019-11-16 14:05:44,67.4560140649216,6,3
40.32,0,2019-12-03 12:33:19,99.92519641434569,2,1
8.07,0,2020-06-15 21:17:41,136.03803231357804,1,3
28.62,0,2020-06-08 12:52:26,56.247509606913525,1,2
15.37,0,2019-12-16 20:35:34,102.03739630581796,1,3
44.52,0,2019-09-05 19:39:10,86.5715486833157,4,1
1.07,0,2020-06-18 21:51:21,111.40534315963426,4,3
50.34,0,2020-05-07 16:04:21,95.18762279721123,4,2
143.5,0,2019-12-26 01:43:55,20.77971882587217,4,4
81.43,0,2020-03-23 02:36:55,101.71189579983354,1,4
102.04,0,2019-10-01 06:19:24,29.82108550503423,2,1
6.02,0,2019-11-21 00:54:35,112.45081841137545,4,4
51.14,0,2019-06-07 17:50:09,72.25694733985844,5,2
1.11,0,2019-12-07 20:11:50,102.32695465450466,6,1
145.36,0,2020-03-23 06:15:43,61.157300491847046,1,4
50.3,0,2019-07-18 17:20:39,48.33486487962326,4,3
80.06,0,2019-07-13 16:19:44,77.37049164640497,6,2
64.62,0,2019-12-31 21:52:31,70.3007500682537,2,5
82.71,0,2020-04-13 06:58:00,19.99167802189714,1,3
150.92,0,2019-05-19 19:58:16,44.563211902925985,7,4
73.77,0,2019-12-14 16:03:21,79.54058111857798,6,2
134.26,0,2019-03-04 20:02:21,78.73359070535335,1,2
5.51,0,2019-05-26 22:33:10,77.94887696561287,7,5
104.91,0,2020-06-21 06:41:38,88.61435650158813,7,4
73.5,0,2019-11-17 22:28:09,40.671280492138294,7,4
77.99,0,2020-04-26 17:49:38,45.546778877814006,7,5
31.74,0,2020-02-26 02:03:34,54.48033896024349,3,5
8.75,0,2020-05-25 21:25:20,100.6851195188824,1,5
49.41,0,2019-11-27 04:49:59,55.89956001280603,3,5
42.38,0,2020-05-04 01:31:09,109.90433216442648,1,2
6.63,0,2020-02-15 07:41:06,51.80618864598361,6,3
74.55,0,2020-03-15 20:00:54,120.96403940741448,7,3
89.86,0,2019-06-17 01:24:11,88.04942201367331,1,4
76.93,0,2019-10-08 16:23:30,41.298738100969956,2,2
7.09,0,2020-01-09 03:52:32,57.77543310292261,4,2
3.01,0,2019-04-14 22:18:18,71.46663081308127,7,3
30.36,0,2020-04-07 21:48:27,111.77229802287036,2,2
1.53,0,2019-09-07 13:53:47,44.857969473744184,6,1
126.26,0,2019-08-05 18:30:22,34.022416622312875,1,2
91.86,0,2020-04-24 09:20:00,52.91866295297111,5,4
89.9,0,2019-12-29 00:01:36,103.82649453989839,7,5
7.03,0,2019-05-15 13:21:38,43.52874839812636,3,3
4.98,0,2020-05-17 11:27:52,4.146004402977322,7,4
86.45,0,2019-08-28 11:32:06,63.84761466755848,3,5
156.94,0,2019-11-03 08:38:14,87.6225675231159,7,2
82.82,0,2019-10-08 01:50:40,106.50325978483257,2,2
52.89,0,2020-03-09 02:44:13,64.74345802858726,1,2
51.54,0,2019-11-02 16:42:29,119.16221634778702,6,1
6.55,0,2020-05-03 01:31:13,47.063292738538394,7,2
48.52,0,2019-08-21 15:24:59,123.05175641659477,3,4
20.0,0,2019-01-29 19:56:18,95.17651422774041,2,5
217.98,0,2020-01-12 16:10:20,61.465227052928924,7,3
10.32,0,2019-12-07 18:53:58,42.31556436981262,6,1
34.19,0,2019-09-28 21:09:33,73.5713424794309,6,4
5.81,0,2019-01-27 20:38:45,76.71868586218544,7,5
1.66,0,2019-05-24 18:56:30,65.51049569964884,5,4
20.89,0,2019-12-12 18:30:05,98.28361664534775,4,2
44.18,0,2019-04-01 11:01:00,91.6224782730461,1,1
1.4,0,2020-05-07 19:16:52,93.59379086586657,4,2
47.41,0,2019-04-23 21:40:48,41.634381348171466,2,4
52.82,0,2019-11-03 16:29:48,74.57260515324906,7,2
2.51,0,2019-06-05 14:37:15,33.530585042747326,3,2
128.27,0,2020-06-03 23:12:31,37.443987178095306,3,1
71.64,0,2019-06-27 13:53:44,107.3058063285183,4,5
49.68,0,2019-10-13 10:06:12,129.5049153346818,7,3
